Schema.org,,,,,,,,,,,,,,,
Parent Type,Property,Type,Description,EOSC/EDMI,ISO-19115:2003,Dataverse,DCAT,DATS,Datacite,RIF-CS,DC ,BioSchema,B2FIND,DDI,ECRIN Clinical Research Metadata Schema 
schema:Thing,description ,Text,A description of the item.,description (M),Resource description,Description; DescriptionValue (M),description (M),description (R),Description (R),"collection/description[@type='brief']
OR
collection/description[@type='full']",Description - dcterms:description,description (M),Description (R),,Description (R)
schema:Thing,identifier,PropertyValue or URL,"The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.",identifier (M),Resource identifier,Dataset Persistent ID,identifier; other identifier,identifier (R),Identifier (M),"collection/citationInfo/citationMetadata/identifier
AND/OR
collection/identifier
",Identifier - dcterms:identifier,identifier (M),Identifier (M),IDNo,DOI (M)
schema:Thing,name,Text,"A descriptive name of the item (e.g. dataset, software, Organization). ",name (M),Resource title (M),Title (M),title (M),title (M),Title (M),"registryObject:collection:name
(Title as displayed in RDA)",Title - dcterms:title,name (M),Title (M),titl,Object Title (M)
schema:Thing,alternateName,Text,"An alias for the item 
",,,,,,,,,,,,
schema:Thing,sameAs,URL,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.",sameAs (O),,Alternative URl,,alternateIdentifier (O),RelatedIdentifer,No mapping,relation,,,,"Related resource identifiers, with relation type indicator (R)"
schema:Thing,url,URL,URL of the item.,url (M),"Online resource (function: information"")",,accessURL (M); landing page (if no access directly to dataset); homepage,identifier (R),valueURL,"RDA key= URL of record.
""https://researchdata.ands.org.au/view?key=<insert key>""",dc:identifier (if URL),url (M),,,
schema:Thing,relatedLink,URL,"A link related to this object, e.g. related web pages",,,,,,,,,,,relPubl,
schema:CreativeWork,author,Organization or Person,The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.,,,Author; authorName (M),,,creator,"collection/citationInfo/citationMetadata/contributor
OR
relatedObject|relatedInfo party/name where relation=IsPrincipalInvestigatorOf
OR
relatedObject|relatedInfo party/name where relation=author
OR
relatedObject|relatedInfo party/name where relation=coInvestigator
OR
relatedObject|relatedInfo party/name where relation=hasCollector",Creator,,,AuthEnty,
schema:CreativeWork,citation,CreativeWork or URL,"A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.",citation (O),,Related Publication,,primaryPublication/ citations (O),,"collection/relatedInfo[@type='publication']
OR
relatedObject:collection where related collection [@type='publication']",dcterms:isReferencedBy,citation (R),,,
schema:CreativeWork,contributor,Organization or Person,A secondary contributor to the CreativeWork or Event.,,,Contributor,,,Contributor (R),No mapping,Contributor,,Contributor (O),,Contributors (O)
