,Schema.org,,,,,,,,,,,,,,,,,,
,Parent Type,"Property
R: Required",Type,"Description
(text in bracket is from the Google dataset search guide)",DCATv2,DCAT-AP,Datacite,ISO-19115:2003,EOSC/EDMI,Dataverse,DATS,RIF-CS,DC ,BioSchema,B2FIND,DDI,ECRIN Clinical Research Metadata Schema ,CodeMeta,SPASE
From Google dataset search recommendaton,schema:Thing,description (R),Text,A description of the item.,dcterms:description,dct:description(M),Description (R),Resource abstract,description (M),Description; DescriptionValue (M),description (R),"collection/description[@type='brief']
OR
collection/description[@type='full']",Description - dcterms:description,description (M),Description (R),,Description (R),description,ResourceHeader/Description
,schema:Thing,name (R),Text,"A descriptive name of the item (e.g. dataset, software, Organization). ",dcterms:title,dct:title(M),Title (M),Resource title (M),name (M),Title (M),title (M),"registryObject:collection:name
(Title as displayed in RDA)",Title - dcterms:title,name (M),Title (M),titl,Object Title (M),name,ResourceHeader/ResourceName
,schema:Thing,identifier,PropertyValue or URL,"The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.",dcterms:identifier,dct:identifier,Identifier (M),Resource identifier,identifier (M),Dataset Persistent ID,identifier (R),"collection/citationInfo/citationMetadata/identifier
AND/OR
collection/identifier
",Identifier - dcterms:identifier,identifier (M),Identifier (M),IDNo,DOI (M),identifier,"ResourceHeader/DOI
 ResourceID"
,schema:Thing,alternateName,Text,"An alias for the item 

(Alternative names that have been used to refer to this dataset, such as aliases or abbreviations.)","rdfs:label
skos:altLabel",,,,,,,,,,,,,,ResourceHeader/AlternateName
,schema:Thing,sameAs,URL,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.","owl:sameAs
skos:exactMatch",,"RelatedIdentifer(R)

AlernateIdentifier(O)*",,sameAs (O),Alternative URl,alternateIdentifier (O),No mapping,relation,,,,"Related resource identifiers, with relation type indicator (R)",sameAs,ResourceHeader/InformationURL/URL
,schema:Thing,url,URL,"URL of the item.
(Location of a page describing the dataset.)",dcat:landingPage,dcat:landingPage(O),valueURL,"Online resource (function: information"")",url (M),,identifier (R),"RDA key= URL of record.
""https://researchdata.ands.org.au/view?key=<insert key>""",dc:identifier (if URL),url (M),,,,url,AccessInformation/AccessURL/URL
,schema:CreativeWork,citation,CreativeWork or URL,"A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.",dcterms:bibliographicCitation,,citation/isBasedOn,,citation (O),Related Publication,primaryPublication/ citations (O),"collection/relatedInfo[@type='publication']
OR
relatedObject:collection where related collection [@type='publication']",dcterms:isReferencedBy,citation (R),,,,citation,ResourceHeader/PublicationInfo
,schema:CreativeWork,keywords,Text,Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.,dcat:keyword,dct:keyword (R),Subject(R)*,Descriptive keywords (free text),keywords (R),Subject (M); Topic Classification Term; Keywords,keywords (O),collection/subject        ,Subject - dcterms:subject,keywords (M),,keywords,,keywords,keyword
,schema:CreativeWork,license,CreativeWork or URL,"A license document that applies to this content, typically indicated by URL.

(A license under which the dataset is distributed.)",dct:license,dct:license,Rights,"Resource constraints: use constraints (for catalogue)

Online resource (function: ""download""): linkage (for dataset)",license (R),,licenses (R),"collection/rights/licence[@rightsURI]
AND/OR
collection/rights/licence[@type]
AND
collection/rights/licence",Rights,license (R),Rights (O),,Rights (O),license,
